bench_ts,storage,size,file_type,operation,objects,size_mb,generate_seconds,generate_mbps,upload_seconds,upload_mbps,download_seconds,download_mbps,list_seconds,query_filter_region,query_start_ts,query_end_ts,query_grouped_by,query_seconds,query_rows,query_result_groups
2026-05-20T13:14:17.317488+00:00,azure,M,parquet,list,5,394.61,,,,,,,0.162,,,,,,,
2026-05-20T13:14:34.659929+00:00,azure,L,csv,list,20,5976.46,,,,,,,0.214,,,,,,,
2026-05-20T13:14:36.593683+00:00,azure,L,parquet,list,20,1578.44,,,,,,,0.698,,,,,,,
2026-05-20T13:22:28.652674+00:00,azure,L,csv,list,20,5976.46,,,,,,,0.097,,,,,,,
2026-05-20T13:22:29.260391+00:00,azure,L,parquet,list,20,1578.44,,,,,,,0.148,,,,,,,
2026-05-20T13:23:18.240410+00:00,azure,L,csv,list,20,5976.46,,,,,,,0.136,,,,,,,
2026-05-20T13:23:18.948542+00:00,azure,L,parquet,list,20,1578.44,,,,,,,0.138,,,,,,,
2026-05-20T13:23:31.114038+00:00,aws,L,csv,list,20,5976.46,,,,,,,0.389,,,,,,,
2026-05-20T13:23:32.335243+00:00,aws,L,parquet,list,20,1578.44,,,,,,,0.859,,,,,,,
2026-05-20T13:23:38.168258+00:00,aws,L,csv,list,20,5976.46,,,,,,,0.501,,,,,,,
2026-05-20T13:23:39.340239+00:00,aws,L,parquet,list,20,1578.44,,,,,,,0.391,,,,,,,
2026-05-20T13:23:47.304228+00:00,aws,L,csv,list,20,5976.46,,,,,,,0.404,,,,,,,
2026-05-20T13:23:48.294904+00:00,aws,L,parquet,list,20,1578.44,,,,,,,0.416,,,,,,,
2026-05-20T13:23:57.253803+00:00,aws,M,csv,list,5,1494.12,,,,,,,0.532,,,,,,,
2026-05-20T13:23:58.484921+00:00,aws,M,parquet,list,5,394.61,,,,,,,0.411,,,,,,,
2026-05-20T13:24:03.884009+00:00,aws,M,csv,list,5,1494.12,,,,,,,0.465,,,,,,,
2026-05-20T13:24:04.967180+00:00,aws,M,parquet,list,5,394.61,,,,,,,0.562,,,,,,,
2026-05-20T13:24:18.664293+00:00,aws,M,csv,list,5,1494.12,,,,,,,0.817,,,,,,,
2026-05-20T13:24:20.131208+00:00,aws,M,parquet,list,5,394.61,,,,,,,0.485,,,,,,,
2026-05-20T13:24:27.771583+00:00,aws,S,csv,list,1,298.82,,,,,,,0.412,,,,,,,
2026-05-20T13:24:28.741020+00:00,aws,S,parquet,list,1,78.92,,,,,,,0.4,,,,,,,
2026-05-20T13:24:32.376661+00:00,aws,S,csv,list,1,298.82,,,,,,,0.416,,,,,,,
2026-05-20T13:24:33.332901+00:00,aws,S,parquet,list,1,78.92,,,,,,,0.362,,,,,,,
2026-05-20T13:24:36.029474+00:00,aws,S,csv,list,1,298.82,,,,,,,0.378,,,,,,,
2026-05-20T13:24:36.957435+00:00,aws,S,parquet,list,1,78.92,,,,,,,0.398,,,,,,,
2026-05-20T13:52:04.628274+00:00,azure,S,csv,query,,,,,,,,,,Eurozone,10.04.2026,20.04.2026,event_type,274.693,584041,4
2026-05-20T13:56:40.901373+00:00,azure,S,parquet,query,,,,,,,,,,Eurozone,10.04.2026,20.04.2026,event_type,37.441,584041,4
2026-05-20T18:25:17.046069+00:00,minio,S,csv,generate+upload+download+list+query,1,298.82,0,1253360324,0.559,534.52,0.329,909.15,0.03,Switzerland,10.04.2026,20.04.2026,event_type,2.558,83284,4
2026-05-20T18:25:20.606953+00:00,minio,S,parquet,generate+upload+download+list+query,1,78.92,0,331015164,0.176,449.2,0.123,641.32,0.03,Switzerland,10.04.2026,20.04.2026,event_type,0.14,83284,4
2026-05-20T18:40:40.260001+00:00,minio,S,csv,query,,,,,,,,,,Switzerland,10.04.2026,20.04.2026,event_type,2.745,83284,4
2026-05-20T18:40:43.043169+00:00,minio,S,parquet,query,,,,,,,,,,Switzerland,10.04.2026,20.04.2026,event_type,0.135,83284,4
2026-05-20T18:43:46.770552+00:00,minio,M,csv,query,,,,,,,,,,Switzerland,10.04.2026,20.04.2026,event_type,13.509,415753,4
